Заголовок,Дата публікації,Вміст,Рубрика,Посилання на статтю
"Генштаб оновив дані: ""мінус"" 1280 окупантів за добу ",05.06 07:58,За минулу добу українські захисники ліквідували 1280 окупантів. Загалом втрати армії РФ 513 700 військових убитими.,Україна,https://mignews.ua/uk/news/ukraine/genshtab-obnovil-dannye-minus-1280-okkupantov-za-sutki5.html
В Україні оголошено масштабну повітряну тривогу. Зліт МіГ-31К ,05.06 07:21,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ.",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vzlet-mig-31k55.html
❗️✈️ В Україні оголошено масштабну повітряну тривогу. Виліт МіГ-31К ,04.06 21:50,На території всієї України оголошено масштабну повітряну тривогу у зв'язку зі зльотом МіГ-31К. О 22;15 почалися відбої,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vylet-mig-31k010624.html
Зеленський: Росія відібрала дитинство в українських дітей ,04.06 21:47,"Російські терористи відібрали нормальність життя і похитнули довіру до дорослих у цілого покоління українських дітей, зазначив президент.",Відео,https://mignews.ua/uk/news/ukraine/zelenskij-rossiya-otobrala-detstvo-u-ukrainskih-detej.html
Із Ісландії підтримає енергетику України додатковими €667 тис. ,04.06 21:14,До Фонду підтримки енергетики України Ісландія внесе додаткові 667 тисяч євро. Це вже другий внесок - попереднього разу країна перерахувала до Фонду понад 2 млн євро.,Енергетика,https://mignews.ua/uk/news/ukraine/islandiya-podderzhit-energetiku-ukrainy-dopolnitelnymi-667-tys.html
Графіки вимкнення світла в Україні на 5 червня ,04.06 19:55,"У середу, 5 червня, вимкнення світла за графіком відбуватиметься протягом усього дня і в усіх областях України.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-5-iyunya.html
"РФ тримає на кордоні та окупованих територіях 550 тис. солдатів, - ЗМІ ",05.06 20:41,На тимчасово окупованих територіях України та біля кордону Російська Федерація зосередила близько 550 тисяч солдатів.,Росія,https://mignews.ua/uk/news/ukraine/rf-derzhit-na-granice-i-okkupirovannyh-territoriyah-550-tys-soldat-smi.html
Графіки вимкнення світла в Україні на 6 червня ,05.06 19:54,"У четвер, 6 червня, українцям знову відключатимуть світло. Ліміти на споживання електроенергії діятимуть для кожної області України з 00:00 до 24:00.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-6-iyunya.html
ЗМІ оцінили вихід із тіні української розвідки і контакт із цифровим поколінням ,05.06 19:03,"Світові спецслужби, як правило, працюють приховано, уникаючи привернення уваги. Однак ГУР МО України обрало іншу тактику, діючи публічно і прозоро, проявляючи активність, зокрема в соцмережах.",Новини,https://mignews.ua/uk/news/ukraine/smi-ocenili-vyhod-iz-teni-ukrainskoj-razvedki-i-kontakt-s-cifrovym-pokoleniem.html
"I'll be back: Гуменюк призначили в ОК ""Південь"" ",05.06 17:06,"Наталія Гуменюк обійняла посаду заступниці начальника управління комунікацій оперативного командування ""Південь"".",Новини,https://mignews.ua/uk/news/ukraine/ill-be-back-gumenyuk-naznachili-v-ok-yug.html
ЄБРР виділить Україні €300 млн на підтримку енергетики ,05.06 16:22,Європейський банк реконструкції та розвитку виділить Україні 300 млн євро на підтримку енергетики.,Енергетика,https://mignews.ua/uk/news/ukraine/ebrr-vydelit-ukraine-300-mln-na-podderzhku-energetiki.html
Аномальная жара: что ждет Европу и Украину этим летом ,05.06 15:55,Погода в Украине этим летом может принести немало сюрпризов и рекордов.,У світі,https://mignews.ua/uk/news/ukraine/anomalnaya-zhara-chto-zhdet-evropu-i-ukrainu-etim-letom.html
❗️В Україні втретє за день масштабна повітряна тривога. МіГ-31К у повітрі ,05.06 15:37,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ. О 16:09 почалися відбої",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-vtoroj-raz-za-den-masshtabnaya-vozdushnaya-trevoga-mig-31k-v-vozduhe.html
"""Укренерго"" попереджає: сьогодні відключення можуть бути понад 4 години ",05.06 13:18,Причиною застосування заходів обмеження є наслідки шести ракетних обстрілів Росією по українських електростанціях.,Україна,https://mignews.ua/uk/news/ukraine/ukrenergo-preduprezhdaet-segodnya-otklyucheniya-mogut-byt-bolee-4-chasov.html
В Україні е-квиток для транспорту прирівняють до паперового ,05.06 12:54,Сьогодні Рада підтримала законопроєкт про впровадження електронних квитків в автомобільному та міському електротранспорті.,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-e-bilet-dlya-transporta-priravnyayut-k-bumazhnomu.html
За час війни армія Росія пошкодила в Україні понад 210 тисяч будівель ,05.06 11:06,"Жодне місто в Україні не зазнавало стільки руйнувань, скільки зазнав тимчасово окупований Маріуполь.",Україна,https://mignews.ua/uk/news/ukraine/za-vremya-vojny-armiya-rossiya-povredila-v-ukraine-bolee-210-tysyach-zdanij.html
Російські кораблі прибувають до Криму під конвоєм катерів ,05.06 10:48,"Катери ""Раптор"" почали супроводжувати кораблі Чорноморського флоту РФ до Криму.",Україна,https://mignews.ua/uk/news/ukraine/rossijskie-korabli-pribyvayut-v-krym-pod-konvoev-katerov.html
Чи можуть чоловіки з подвійним громадянством виїхати з України ,05.06 09:58,"У Держприкордонслужбі роз'яснили, чи можливий виїзд чоловіків-українців віком від 18 до 60 років, які мають подвійне громадянство, з України.",Україна,https://mignews.ua/uk/news/ukraine/mogut-li-muzhchiny-s-dvojnym-grazhdanstvom-vyehat-iz-ukrainy.html
Від початку війни Росія вбила в Україні понад 800 дітей ,05.06 08:58,"З 2014 року Росія позбавила життя понад 800 українських дітей, і це ще не відомі масштаби злочинів, скоєних на окупованих територіях, до яких немає доступу.",Україна,https://mignews.ua/uk/news/ukraine/s-nachala-vojny-rossiya-ubila-v-ukraine-bolee-800-detej.html
Уночі Росія атакувала Україну майже 30 дронами ,05.06 08:25,ППО не збила тільки п'ять із 27 запущених російських безпілотників.,Україна,https://mignews.ua/uk/news/ukraine/nochyu-rossiya-atakovala-ukrainu-pochti-30-dronami.html
"Генштаб оновив дані: ""мінус"" 1280 окупантів за добу ",05.06 07:58,За минулу добу українські захисники ліквідували 1280 окупантів. Загалом втрати армії РФ 513 700 військових убитими.,Україна,https://mignews.ua/uk/news/ukraine/genshtab-obnovil-dannye-minus-1280-okkupantov-za-sutki5.html
В Україні оголошено масштабну повітряну тривогу. Зліт МіГ-31К ,05.06 07:21,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ.",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vzlet-mig-31k55.html
❗️✈️ В Україні оголошено масштабну повітряну тривогу. Виліт МіГ-31К ,04.06 21:50,На території всієї України оголошено масштабну повітряну тривогу у зв'язку зі зльотом МіГ-31К. О 22;15 почалися відбої,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vylet-mig-31k010624.html
Зеленський: Росія відібрала дитинство в українських дітей ,04.06 21:47,"Російські терористи відібрали нормальність життя і похитнули довіру до дорослих у цілого покоління українських дітей, зазначив президент.",Відео,https://mignews.ua/uk/news/ukraine/zelenskij-rossiya-otobrala-detstvo-u-ukrainskih-detej.html
Із Ісландії підтримає енергетику України додатковими €667 тис. ,04.06 21:14,До Фонду підтримки енергетики України Ісландія внесе додаткові 667 тисяч євро. Це вже другий внесок - попереднього разу країна перерахувала до Фонду понад 2 млн євро.,Енергетика,https://mignews.ua/uk/news/ukraine/islandiya-podderzhit-energetiku-ukrainy-dopolnitelnymi-667-tys.html
Графіки вимкнення світла в Україні на 5 червня ,04.06 19:55,"У середу, 5 червня, вимкнення світла за графіком відбуватиметься протягом усього дня і в усіх областях України.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-5-iyunya.html
"РФ тримає на кордоні та окупованих територіях 550 тис. солдатів, - ЗМІ ",05.06 20:41,На тимчасово окупованих територіях України та біля кордону Російська Федерація зосередила близько 550 тисяч солдатів.,Росія,https://mignews.ua/uk/news/ukraine/rf-derzhit-na-granice-i-okkupirovannyh-territoriyah-550-tys-soldat-smi.html
Графіки вимкнення світла в Україні на 6 червня ,05.06 19:54,"У четвер, 6 червня, українцям знову відключатимуть світло. Ліміти на споживання електроенергії діятимуть для кожної області України з 00:00 до 24:00.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-6-iyunya.html
ЗМІ оцінили вихід із тіні української розвідки і контакт із цифровим поколінням ,05.06 19:03,"Світові спецслужби, як правило, працюють приховано, уникаючи привернення уваги. Однак ГУР МО України обрало іншу тактику, діючи публічно і прозоро, проявляючи активність, зокрема в соцмережах.",Новини,https://mignews.ua/uk/news/ukraine/smi-ocenili-vyhod-iz-teni-ukrainskoj-razvedki-i-kontakt-s-cifrovym-pokoleniem.html
"I'll be back: Гуменюк призначили в ОК ""Південь"" ",05.06 17:06,"Наталія Гуменюк обійняла посаду заступниці начальника управління комунікацій оперативного командування ""Південь"".",Новини,https://mignews.ua/uk/news/ukraine/ill-be-back-gumenyuk-naznachili-v-ok-yug.html
ЄБРР виділить Україні €300 млн на підтримку енергетики ,05.06 16:22,Європейський банк реконструкції та розвитку виділить Україні 300 млн євро на підтримку енергетики.,Енергетика,https://mignews.ua/uk/news/ukraine/ebrr-vydelit-ukraine-300-mln-na-podderzhku-energetiki.html
Аномальная жара: что ждет Европу и Украину этим летом ,05.06 15:55,Погода в Украине этим летом может принести немало сюрпризов и рекордов.,У світі,https://mignews.ua/uk/news/ukraine/anomalnaya-zhara-chto-zhdet-evropu-i-ukrainu-etim-letom.html
❗️В Україні втретє за день масштабна повітряна тривога. МіГ-31К у повітрі ,05.06 15:37,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ. О 16:09 почалися відбої",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-vtoroj-raz-za-den-masshtabnaya-vozdushnaya-trevoga-mig-31k-v-vozduhe.html
"""Укренерго"" попереджає: сьогодні відключення можуть бути понад 4 години ",05.06 13:18,Причиною застосування заходів обмеження є наслідки шести ракетних обстрілів Росією по українських електростанціях.,Україна,https://mignews.ua/uk/news/ukraine/ukrenergo-preduprezhdaet-segodnya-otklyucheniya-mogut-byt-bolee-4-chasov.html
В Україні е-квиток для транспорту прирівняють до паперового ,05.06 12:54,Сьогодні Рада підтримала законопроєкт про впровадження електронних квитків в автомобільному та міському електротранспорті.,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-e-bilet-dlya-transporta-priravnyayut-k-bumazhnomu.html
За час війни армія Росія пошкодила в Україні понад 210 тисяч будівель ,05.06 11:06,"Жодне місто в Україні не зазнавало стільки руйнувань, скільки зазнав тимчасово окупований Маріуполь.",Україна,https://mignews.ua/uk/news/ukraine/za-vremya-vojny-armiya-rossiya-povredila-v-ukraine-bolee-210-tysyach-zdanij.html
Російські кораблі прибувають до Криму під конвоєм катерів ,05.06 10:48,"Катери ""Раптор"" почали супроводжувати кораблі Чорноморського флоту РФ до Криму.",Україна,https://mignews.ua/uk/news/ukraine/rossijskie-korabli-pribyvayut-v-krym-pod-konvoev-katerov.html
Чи можуть чоловіки з подвійним громадянством виїхати з України ,05.06 09:58,"У Держприкордонслужбі роз'яснили, чи можливий виїзд чоловіків-українців віком від 18 до 60 років, які мають подвійне громадянство, з України.",Україна,https://mignews.ua/uk/news/ukraine/mogut-li-muzhchiny-s-dvojnym-grazhdanstvom-vyehat-iz-ukrainy.html
Від початку війни Росія вбила в Україні понад 800 дітей ,05.06 08:58,"З 2014 року Росія позбавила життя понад 800 українських дітей, і це ще не відомі масштаби злочинів, скоєних на окупованих територіях, до яких немає доступу.",Україна,https://mignews.ua/uk/news/ukraine/s-nachala-vojny-rossiya-ubila-v-ukraine-bolee-800-detej.html
Уночі Росія атакувала Україну майже 30 дронами ,05.06 08:25,ППО не збила тільки п'ять із 27 запущених російських безпілотників.,Україна,https://mignews.ua/uk/news/ukraine/nochyu-rossiya-atakovala-ukrainu-pochti-30-dronami.html
"Генштаб оновив дані: ""мінус"" 1280 окупантів за добу ",05.06 07:58,За минулу добу українські захисники ліквідували 1280 окупантів. Загалом втрати армії РФ 513 700 військових убитими.,Україна,https://mignews.ua/uk/news/ukraine/genshtab-obnovil-dannye-minus-1280-okkupantov-za-sutki5.html
В Україні оголошено масштабну повітряну тривогу. Зліт МіГ-31К ,05.06 07:21,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ.",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vzlet-mig-31k55.html
❗️✈️ В Україні оголошено масштабну повітряну тривогу. Виліт МіГ-31К ,04.06 21:50,На території всієї України оголошено масштабну повітряну тривогу у зв'язку зі зльотом МіГ-31К. О 22;15 почалися відбої,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vylet-mig-31k010624.html
Зеленський: Росія відібрала дитинство в українських дітей ,04.06 21:47,"Російські терористи відібрали нормальність життя і похитнули довіру до дорослих у цілого покоління українських дітей, зазначив президент.",Відео,https://mignews.ua/uk/news/ukraine/zelenskij-rossiya-otobrala-detstvo-u-ukrainskih-detej.html
Із Ісландії підтримає енергетику України додатковими €667 тис. ,04.06 21:14,До Фонду підтримки енергетики України Ісландія внесе додаткові 667 тисяч євро. Це вже другий внесок - попереднього разу країна перерахувала до Фонду понад 2 млн євро.,Енергетика,https://mignews.ua/uk/news/ukraine/islandiya-podderzhit-energetiku-ukrainy-dopolnitelnymi-667-tys.html
Графіки вимкнення світла в Україні на 5 червня ,04.06 19:55,"У середу, 5 червня, вимкнення світла за графіком відбуватиметься протягом усього дня і в усіх областях України.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-5-iyunya.html
"РФ тримає на кордоні та окупованих територіях 550 тис. солдатів, - ЗМІ ",05.06 20:41,На тимчасово окупованих територіях України та біля кордону Російська Федерація зосередила близько 550 тисяч солдатів.,Росія,https://mignews.ua/uk/news/ukraine/rf-derzhit-na-granice-i-okkupirovannyh-territoriyah-550-tys-soldat-smi.html
Графіки вимкнення світла в Україні на 6 червня ,05.06 19:54,"У четвер, 6 червня, українцям знову відключатимуть світло. Ліміти на споживання електроенергії діятимуть для кожної області України з 00:00 до 24:00.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-6-iyunya.html
ЗМІ оцінили вихід із тіні української розвідки і контакт із цифровим поколінням ,05.06 19:03,"Світові спецслужби, як правило, працюють приховано, уникаючи привернення уваги. Однак ГУР МО України обрало іншу тактику, діючи публічно і прозоро, проявляючи активність, зокрема в соцмережах.",Новини,https://mignews.ua/uk/news/ukraine/smi-ocenili-vyhod-iz-teni-ukrainskoj-razvedki-i-kontakt-s-cifrovym-pokoleniem.html
"I'll be back: Гуменюк призначили в ОК ""Південь"" ",05.06 17:06,"Наталія Гуменюк обійняла посаду заступниці начальника управління комунікацій оперативного командування ""Південь"".",Новини,https://mignews.ua/uk/news/ukraine/ill-be-back-gumenyuk-naznachili-v-ok-yug.html
ЄБРР виділить Україні €300 млн на підтримку енергетики ,05.06 16:22,Європейський банк реконструкції та розвитку виділить Україні 300 млн євро на підтримку енергетики.,Енергетика,https://mignews.ua/uk/news/ukraine/ebrr-vydelit-ukraine-300-mln-na-podderzhku-energetiki.html
Аномальная жара: что ждет Европу и Украину этим летом ,05.06 15:55,Погода в Украине этим летом может принести немало сюрпризов и рекордов.,У світі,https://mignews.ua/uk/news/ukraine/anomalnaya-zhara-chto-zhdet-evropu-i-ukrainu-etim-letom.html
❗️В Україні втретє за день масштабна повітряна тривога. МіГ-31К у повітрі ,05.06 15:37,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ. О 16:09 почалися відбої",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-vtoroj-raz-za-den-masshtabnaya-vozdushnaya-trevoga-mig-31k-v-vozduhe.html
"""Укренерго"" попереджає: сьогодні відключення можуть бути понад 4 години ",05.06 13:18,Причиною застосування заходів обмеження є наслідки шести ракетних обстрілів Росією по українських електростанціях.,Україна,https://mignews.ua/uk/news/ukraine/ukrenergo-preduprezhdaet-segodnya-otklyucheniya-mogut-byt-bolee-4-chasov.html
В Україні е-квиток для транспорту прирівняють до паперового ,05.06 12:54,Сьогодні Рада підтримала законопроєкт про впровадження електронних квитків в автомобільному та міському електротранспорті.,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-e-bilet-dlya-transporta-priravnyayut-k-bumazhnomu.html
За час війни армія Росія пошкодила в Україні понад 210 тисяч будівель ,05.06 11:06,"Жодне місто в Україні не зазнавало стільки руйнувань, скільки зазнав тимчасово окупований Маріуполь.",Україна,https://mignews.ua/uk/news/ukraine/za-vremya-vojny-armiya-rossiya-povredila-v-ukraine-bolee-210-tysyach-zdanij.html
Російські кораблі прибувають до Криму під конвоєм катерів ,05.06 10:48,"Катери ""Раптор"" почали супроводжувати кораблі Чорноморського флоту РФ до Криму.",Україна,https://mignews.ua/uk/news/ukraine/rossijskie-korabli-pribyvayut-v-krym-pod-konvoev-katerov.html
Чи можуть чоловіки з подвійним громадянством виїхати з України ,05.06 09:58,"У Держприкордонслужбі роз'яснили, чи можливий виїзд чоловіків-українців віком від 18 до 60 років, які мають подвійне громадянство, з України.",Україна,https://mignews.ua/uk/news/ukraine/mogut-li-muzhchiny-s-dvojnym-grazhdanstvom-vyehat-iz-ukrainy.html
Від початку війни Росія вбила в Україні понад 800 дітей ,05.06 08:58,"З 2014 року Росія позбавила життя понад 800 українських дітей, і це ще не відомі масштаби злочинів, скоєних на окупованих територіях, до яких немає доступу.",Україна,https://mignews.ua/uk/news/ukraine/s-nachala-vojny-rossiya-ubila-v-ukraine-bolee-800-detej.html
Уночі Росія атакувала Україну майже 30 дронами ,05.06 08:25,ППО не збила тільки п'ять із 27 запущених російських безпілотників.,Україна,https://mignews.ua/uk/news/ukraine/nochyu-rossiya-atakovala-ukrainu-pochti-30-dronami.html
"Генштаб оновив дані: ""мінус"" 1280 окупантів за добу ",05.06 07:58,За минулу добу українські захисники ліквідували 1280 окупантів. Загалом втрати армії РФ 513 700 військових убитими.,Україна,https://mignews.ua/uk/news/ukraine/genshtab-obnovil-dannye-minus-1280-okkupantov-za-sutki5.html
В Україні оголошено масштабну повітряну тривогу. Зліт МіГ-31К ,05.06 07:21,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ.",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vzlet-mig-31k55.html
❗️✈️ В Україні оголошено масштабну повітряну тривогу. Виліт МіГ-31К ,04.06 21:50,На території всієї України оголошено масштабну повітряну тривогу у зв'язку зі зльотом МіГ-31К. О 22;15 почалися відбої,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vylet-mig-31k010624.html
Зеленський: Росія відібрала дитинство в українських дітей ,04.06 21:47,"Російські терористи відібрали нормальність життя і похитнули довіру до дорослих у цілого покоління українських дітей, зазначив президент.",Відео,https://mignews.ua/uk/news/ukraine/zelenskij-rossiya-otobrala-detstvo-u-ukrainskih-detej.html
Із Ісландії підтримає енергетику України додатковими €667 тис. ,04.06 21:14,До Фонду підтримки енергетики України Ісландія внесе додаткові 667 тисяч євро. Це вже другий внесок - попереднього разу країна перерахувала до Фонду понад 2 млн євро.,Енергетика,https://mignews.ua/uk/news/ukraine/islandiya-podderzhit-energetiku-ukrainy-dopolnitelnymi-667-tys.html
Графіки вимкнення світла в Україні на 5 червня ,04.06 19:55,"У середу, 5 червня, вимкнення світла за графіком відбуватиметься протягом усього дня і в усіх областях України.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-5-iyunya.html
"РФ тримає на кордоні та окупованих територіях 550 тис. солдатів, - ЗМІ ",05.06 20:41,На тимчасово окупованих територіях України та біля кордону Російська Федерація зосередила близько 550 тисяч солдатів.,Росія,https://mignews.ua/uk/news/ukraine/rf-derzhit-na-granice-i-okkupirovannyh-territoriyah-550-tys-soldat-smi.html
Графіки вимкнення світла в Україні на 6 червня ,05.06 19:54,"У четвер, 6 червня, українцям знову відключатимуть світло. Ліміти на споживання електроенергії діятимуть для кожної області України з 00:00 до 24:00.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-6-iyunya.html
ЗМІ оцінили вихід із тіні української розвідки і контакт із цифровим поколінням ,05.06 19:03,"Світові спецслужби, як правило, працюють приховано, уникаючи привернення уваги. Однак ГУР МО України обрало іншу тактику, діючи публічно і прозоро, проявляючи активність, зокрема в соцмережах.",Новини,https://mignews.ua/uk/news/ukraine/smi-ocenili-vyhod-iz-teni-ukrainskoj-razvedki-i-kontakt-s-cifrovym-pokoleniem.html
"I'll be back: Гуменюк призначили в ОК ""Південь"" ",05.06 17:06,"Наталія Гуменюк обійняла посаду заступниці начальника управління комунікацій оперативного командування ""Південь"".",Новини,https://mignews.ua/uk/news/ukraine/ill-be-back-gumenyuk-naznachili-v-ok-yug.html
ЄБРР виділить Україні €300 млн на підтримку енергетики ,05.06 16:22,Європейський банк реконструкції та розвитку виділить Україні 300 млн євро на підтримку енергетики.,Енергетика,https://mignews.ua/uk/news/ukraine/ebrr-vydelit-ukraine-300-mln-na-podderzhku-energetiki.html
Аномальная жара: что ждет Европу и Украину этим летом ,05.06 15:55,Погода в Украине этим летом может принести немало сюрпризов и рекордов.,У світі,https://mignews.ua/uk/news/ukraine/anomalnaya-zhara-chto-zhdet-evropu-i-ukrainu-etim-letom.html
❗️В Україні втретє за день масштабна повітряна тривога. МіГ-31К у повітрі ,05.06 15:37,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ. О 16:09 почалися відбої",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-vtoroj-raz-za-den-masshtabnaya-vozdushnaya-trevoga-mig-31k-v-vozduhe.html
"""Укренерго"" попереджає: сьогодні відключення можуть бути понад 4 години ",05.06 13:18,Причиною застосування заходів обмеження є наслідки шести ракетних обстрілів Росією по українських електростанціях.,Україна,https://mignews.ua/uk/news/ukraine/ukrenergo-preduprezhdaet-segodnya-otklyucheniya-mogut-byt-bolee-4-chasov.html
В Україні е-квиток для транспорту прирівняють до паперового ,05.06 12:54,Сьогодні Рада підтримала законопроєкт про впровадження електронних квитків в автомобільному та міському електротранспорті.,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-e-bilet-dlya-transporta-priravnyayut-k-bumazhnomu.html
За час війни армія Росія пошкодила в Україні понад 210 тисяч будівель ,05.06 11:06,"Жодне місто в Україні не зазнавало стільки руйнувань, скільки зазнав тимчасово окупований Маріуполь.",Україна,https://mignews.ua/uk/news/ukraine/za-vremya-vojny-armiya-rossiya-povredila-v-ukraine-bolee-210-tysyach-zdanij.html
Російські кораблі прибувають до Криму під конвоєм катерів ,05.06 10:48,"Катери ""Раптор"" почали супроводжувати кораблі Чорноморського флоту РФ до Криму.",Україна,https://mignews.ua/uk/news/ukraine/rossijskie-korabli-pribyvayut-v-krym-pod-konvoev-katerov.html
Чи можуть чоловіки з подвійним громадянством виїхати з України ,05.06 09:58,"У Держприкордонслужбі роз'яснили, чи можливий виїзд чоловіків-українців віком від 18 до 60 років, які мають подвійне громадянство, з України.",Україна,https://mignews.ua/uk/news/ukraine/mogut-li-muzhchiny-s-dvojnym-grazhdanstvom-vyehat-iz-ukrainy.html
Від початку війни Росія вбила в Україні понад 800 дітей ,05.06 08:58,"З 2014 року Росія позбавила життя понад 800 українських дітей, і це ще не відомі масштаби злочинів, скоєних на окупованих територіях, до яких немає доступу.",Україна,https://mignews.ua/uk/news/ukraine/s-nachala-vojny-rossiya-ubila-v-ukraine-bolee-800-detej.html
Уночі Росія атакувала Україну майже 30 дронами ,05.06 08:25,ППО не збила тільки п'ять із 27 запущених російських безпілотників.,Україна,https://mignews.ua/uk/news/ukraine/nochyu-rossiya-atakovala-ukrainu-pochti-30-dronami.html
"Генштаб оновив дані: ""мінус"" 1280 окупантів за добу ",05.06 07:58,За минулу добу українські захисники ліквідували 1280 окупантів. Загалом втрати армії РФ 513 700 військових убитими.,Україна,https://mignews.ua/uk/news/ukraine/genshtab-obnovil-dannye-minus-1280-okkupantov-za-sutki5.html
В Україні оголошено масштабну повітряну тривогу. Зліт МіГ-31К ,05.06 07:21,"У Повітряних силах ЗСУ попередили про ракетну небезпеку по всій території, оскільки зафіксовано зліт військового винищувача МіГ-31К з аеродрому РФ.",Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vzlet-mig-31k55.html
❗️✈️ В Україні оголошено масштабну повітряну тривогу. Виліт МіГ-31К ,04.06 21:50,На території всієї України оголошено масштабну повітряну тривогу у зв'язку зі зльотом МіГ-31К. О 22;15 почалися відбої,Україна,https://mignews.ua/uk/news/ukraine/v-ukraine-obyavlena-masshtabnaya-vozdushnaya-trevoga-vylet-mig-31k010624.html
Зеленський: Росія відібрала дитинство в українських дітей ,04.06 21:47,"Російські терористи відібрали нормальність життя і похитнули довіру до дорослих у цілого покоління українських дітей, зазначив президент.",Відео,https://mignews.ua/uk/news/ukraine/zelenskij-rossiya-otobrala-detstvo-u-ukrainskih-detej.html
Із Ісландії підтримає енергетику України додатковими €667 тис. ,04.06 21:14,До Фонду підтримки енергетики України Ісландія внесе додаткові 667 тисяч євро. Це вже другий внесок - попереднього разу країна перерахувала до Фонду понад 2 млн євро.,Енергетика,https://mignews.ua/uk/news/ukraine/islandiya-podderzhit-energetiku-ukrainy-dopolnitelnymi-667-tys.html
Графіки вимкнення світла в Україні на 5 червня ,04.06 19:55,"У середу, 5 червня, вимкнення світла за графіком відбуватиметься протягом усього дня і в усіх областях України.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-5-iyunya.html
"РФ тримає на кордоні та окупованих територіях 550 тис. солдатів, - ЗМІ ",05.06 20:41,На тимчасово окупованих територіях України та біля кордону Російська Федерація зосередила близько 550 тисяч солдатів.,Росія,https://mignews.ua/uk/news/ukraine/rf-derzhit-na-granice-i-okkupirovannyh-territoriyah-550-tys-soldat-smi.html
Графіки вимкнення світла в Україні на 6 червня ,05.06 19:54,"У четвер, 6 червня, українцям знову відключатимуть світло. Ліміти на споживання електроенергії діятимуть для кожної області України з 00:00 до 24:00.",Енергетика,https://mignews.ua/uk/news/ukraine/grafiki-otklyucheniya-sveta-v-ukraine-na-6-iyunya.html
